ARTIST NAME,SHOWS,458,1759103602
Andrea Bocelli,5,,
Josh Groban,4,,
Coldplay,,,
Paul McCartney,2,,
The Eagles,,,
Colbie Callait,,,
Dashboard Confessional,,,
Howie Day,,,
Train,,,
30 Seconds to Mars,2,,
Trans-Siberian Orchestra,,,
Ludovico Einaudi,,,
Jay-Z,,,
Kanye West,,,
Death Cab for Cutie,,,
Youth Lagoon,2,,
Foster the People,2,,
Mayer Hawthorne,3,,
Kimbra,,,
Holiday Friends,,,
Laura Gibson,,,
Blind Pilot,2,,
Phantogram,,,
Matt & Kim,4,,
Passion Pit,2,,
Blondfire,,,
Surfer Blood ,2,,
Foals ,2,,
twenty one pilots,7,,
Of Monsters and Men,2,,
AWOLNATION,,,
Jimmy Eat World,,,
The Airborne Toxic Event,,,
Fitz and the Tantrums,2,,
Capital Cities,2,,
Atlas Genius,2,,
Youngblood Hawke,,,
The Neighbourhood,,,
Wavves,,,
The Mowgli's,,,
C2C,,,
New Politics,,,
Wallpaper.,,,
Santigold,2,,
Common,,,
The Grouch & Eligh,,,
Barrington Levy,,,
Ziggy Marley,,,
Mystery Jets,,,
Mumford & Sons,3,,
Michael Kiwanuka,,,
Hundred Waters,,,
The xx,2,,
Matt Costa,,,
LP,,,
Walk the Moon,2,,
The Walkmen,,,
100s,,,
Blackalicious,,,
Angel Haze,,,
Juicy J,,,
Deltron 3030,,,
Phillip Phillips,2,,
John Mayer,2,,
Baths,,,
Divine Fits,,,
The Postal Service,,,
Foy Vance,,,
Naia Kete,,,
Midi Matilda,2,,
The National,,,
Cherub ,2,,
Gary Clark Jr.,,,
Young the Giant,,,
Thao & The Get Down Stay Down,,,
The Tallest Man on Earth,,,
Yeah Yeah Yeahs,,,
Grizzly Bear,,,
Phoenix,,,
Little Green Cars,,,
Rudimental,,,
Hall & Oates,,,
Vampire Weekend,2,,
Red Hot Chili Peppers,,,
Superhumanoids,,,
Said the Whale,,,
Cayucas,,,
Crystal Fighters,,,
Portugal. The Man,2,,
Beat Club,,,
John Newman,,,
Panama Wedding,,,
Dan Croll,,,
Kongos,2,,
Unknown Mortal Orchestra,2,,
Bear Hands,,,
Big Data,,,
Birds of Tokyo,,,
Bleachers,,,
MS MR,2,,
The Knocks,,,
Giraffage,,,
RAC,,,
Made In Heights,,,
Charli XCX,2,,
Andrew McMahon,,,
Yuna,,,
Allen Stone,,,
Cathedrals,2,,
WATERS,4,,
Prides,,,
Joywave ,2,,
ANYA KVITKA,,,
Samsaya,,,
Ella Eyre,,,
Lemaitre,,,
Night Terrors of 1927,,,
Aer,,,
Phosphorescent,,,
Holy Ghost!,,,
Chromeo,,,
Disclosure,,,
Typhoon,,,
Arctic Monkeys,,,
Dum Dum Girls,,,
The Kooks,3,,
Local Natives,2,,
Vance Joy,,,
Atmosphere,,,
Ben Howard,,,
The Flaming Lips,,,
The Killers,,,
Tiesto,,,
Vinyl Theater,,,
MisterWives,3,,
Sir Sly,,,
Mitski,,,
